case_id,tooth_id,landmark,x,y,z,score,margin,missing_tooth,missing,nan,out_of_bounds,from_local
075,t11,m,-1.9174718856811523,-43.28913497924805,-20.90394401550293,1.0,0.5714770555496216,False,False,False,False,False
075,t11,ma,1.1499093770980835,-43.48552322387695,-20.92890167236328,1.0,0.5370025038719177,False,False,False,False,False
075,t11,da,-4.8990864753723145,-42.30430221557617,-20.385358810424805,0.9999983310699463,0.5267447829246521,False,False,False,False,False
075,t11,mc,2.0746378898620605,-42.565673828125,-19.728309631347656,0.9999996423721313,0.5577601790428162,False,False,False,False,False
075,t11,dc,-5.374548435211182,-41.32648468017578,-19.304033279418945,0.9999881982803345,0.5184956789016724,False,False,False,False,False
075,t11,bgb,-0.9218382835388184,-40.61748123168945,-13.419418334960938,1.0,0.6045370697975159,False,False,False,False,False
075,t11,lgb,-0.5719205737113953,-35.74491882324219,-16.774478912353516,1.0,0.6405308842658997,False,False,False,False,False
075,t12,m,-7.598145961761475,-38.77133560180664,-20.73610496520996,1.0,0.5154970288276672,False,False,False,False,False
075,t12,ma,-5.559433460235596,-39.489627838134766,-20.44599723815918,1.0,0.5449693202972412,False,False,False,False,False
075,t12,da,-9.949338912963867,-37.49632263183594,-20.080020904541016,1.0,0.533616304397583,False,False,False,False,False
075,t12,mc,-4.748985767364502,-39.265167236328125,-19.275421142578125,0.9999998807907104,0.5669476389884949,False,False,False,False,False
075,t12,dc,-10.299790382385254,-36.963623046875,-19.551237106323242,0.9999995231628418,0.560271680355072,False,False,False,False,False
075,t12,bgb,-7.596253871917725,-37.38400650024414,-14.162338256835938,0.9999995231628418,0.5058779120445251,False,False,False,False,False
075,t12,lgb,-4.889984607696533,-32.3278694152832,-16.52268409729004,1.0,0.7358696460723877,False,False,False,False,False
075,t13,m,-12.99603271484375,-32.824337005615234,-21.053464889526367,0.9999983310699463,0.5290483832359314,False,False,False,False,False
075,t13,mc,-10.389430046081543,-34.999549865722656,-19.741281509399414,0.9999997615814209,0.5661557912826538,False,False,False,False,False
075,t13,dc,-14.033703804016113,-29.131500244140625,-19.87831687927246,0.9999969005584717,0.5184097290039062,False,False,False,False,False
075,t13,bgb,-13.144091606140137,-32.9146614074707,-14.440208435058594,1.0,0.6756241917610168,False,False,False,False,False
075,t13,lgb,-8.045138359069824,-28.657663345336914,-16.83146095275879,1.0,0.552112877368927,False,False,False,False,False
075,t14,b,-17.270875930786133,-25.513734817504883,-20.905363082885742,1.0,0.5131610035896301,False,False,False,False,False
075,t14,l,-11.199562072753906,-24.59418296813965,-20.765060424804688,1.0,0.5123914480209351,False,False,False,False,False
075,t14,m,-13.928053855895996,-24.59276008605957,-18.921630859375,1.0,0.6447329521179199,False,False,False,False,False
075,t14,mr,-13.282798767089844,-27.66292381286621,-19.0244140625,0.9999998807907104,0.5227537155151367,False,False,False,False,False
075,t14,dr,-14.435630798339844,-22.17693519592285,-19.20216178894043,1.0,0.5314615964889526,False,False,False,False,False
075,t14,mc,-13.28327465057373,-27.86906623840332,-18.9010066986084,0.9999997615814209,0.5359649658203125,False,False,False,False,False
075,t14,dc,-14.176220893859863,-22.067955017089844,-19.04237937927246,0.9999996423721313,0.5459127426147461,False,False,False,False,False
075,t14,bgb,-17.684749603271484,-25.417470932006836,-14.35009479522705,0.999997615814209,0.5316002368927002,False,False,False,False,False
075,t14,lgb,-10.19538402557373,-23.88904571533203,-16.839813232421875,0.999998927116394,0.6104691028594971,False,False,False,False,False
